Dataset,SAX.SEQL,SFglmnet,SAX.SEQLGBM,SAX.SFSEQLGBM,SAX.SFSEQL,type,mtSS.SEQL.LR,mtSFA.SEQL.LR,mtSAX.SEQL.LR,mtSS.SEQL,mtSAX.SEQL,mtSFA.SEQL,SAX.REG.SEQL,SFA.REG.SEQL,Encoder,MCNN,t.LeNet,MCDCNN,Time.CNN,TWIESN,SAXVSM,FS,HIVE.COTE,MLP,FCN,ResNet,WEASEL,DTW_CV,DTW,BOSS,LearningShapelet,TSBF,ST,EE_PROP,Flat.COTE
UWaveGestureLibraryZ,0.5385259631490787,0.5011167,0.6616415410385259,0.4380234505862647,0.43774427694025686,MOTION,0.218,0.23,0.242,0.235,0.248,0.247,0.52,0.515,0.289,0.82,0.879,0.35,0.358,0.435,0.508,0.36200000000000004,0.217,0.295,0.271,0.245,0.23,0.322,0.342,0.305,0.268,0.228,0.252,0.276,0.25
NonInvasiveFatalECGThorax2,0.1770992366412214,0.9862595,0.3526717557251908,0.13129770992366407,0.16844783715012723,ECG,0.051,0.053,0.054000000000000006,0.083,0.084,0.085,0.163,0.163,0.068,0.84,0.971,0.085,0.102,0.475,0.409,0.24600000000000002,0.055,0.057,0.045,0.049,0.059000000000000004,0.12,0.135,0.099,0.08900000000000001,0.138,0.049,0.087,0.054000000000000006
ProximalPhalanxOutlineCorrect,0.19931271477663232,0.2405498,0.2989690721649484,0.1649484536082474,0.1855670103092784,IMAGE,0.134,0.14400000000000002,0.13699999999999998,0.134,0.14400000000000002,0.158,0.182,0.18600000000000003,0.209,0.316,0.316,0.127,0.188,0.179,0.172,0.196,0.12,0.113,0.1,0.08199999999999999,0.10300000000000001,0.21,0.21600000000000003,0.166,0.166,0.151,0.156,0.195,0.146
Fish,0.10285714285714287,0.3314286,0.1885714285714286,0.03428571428571425,0.09142857142857141,IMAGE,0.034,0.034,0.04,0.046,0.04,0.069,0.046,0.046,0.134,0.866,0.8740000000000001,0.242,0.151,0.125,0.051,0.217,0.011000000000000001,0.126,0.028999999999999998,0.011000000000000001,0.034,0.154,0.177,0.011000000000000001,0.066,0.166,0.011000000000000001,0.034,0.017
WormsTwoClass,0.27272727272727265,0.5584416,0.33766233766233766,0.33766233766233766,0.33766233766233766,MOTION,0.254,0.271,0.23800000000000002,0.26,0.243,0.243,0.32,0.348,0.361,0.429,0.44299999999999995,0.43,0.462,0.43,0.28600000000000003,0.273,0.221,0.40299999999999997,0.271,0.265,0.195,0.41600000000000004,0.377,0.20800000000000002,0.273,0.247,0.16899999999999998,0.312,0.195
Symbols,0.2753768844221105,0.3065327,0.27738693467336684,0.20804020100502507,0.19095477386934678,IMAGE,0.032,0.032,0.037000000000000005,0.025,0.019,0.033,0.136,0.095,0.179,0.774,0.826,0.244,0.19,0.25,0.37799999999999995,0.066,0.026000000000000002,0.147,0.038,0.128,0.038,0.062,0.05,0.033,0.036000000000000004,0.054000000000000006,0.11800000000000001,0.04,0.036000000000000004
ECGFiveDays,0.07433217189314746,0.300813,0.0801393728222996,0.04413472706155631,0.10104529616724733,ECG,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.027999999999999997,0.018000000000000002,0.501,0.503,0.23800000000000002,0.11800000000000001,0.302,0.045,0.002,0.0,0.03,0.015,0.045,0.0,0.203,0.23199999999999998,0.0,0.0,0.12300000000000001,0.016,0.18,0.001
InlineSkate,0.7054545454545454,0.7763636,0.7363636363636363,0.6581818181818182,0.6545454545454545,MOTION,0.545,0.555,0.5529999999999999,0.5820000000000001,0.584,0.58,0.713,0.649,0.708,0.833,0.835,0.785,0.713,0.67,0.589,0.8109999999999999,0.5,0.649,0.589,0.635,0.387,0.613,0.616,0.484,0.573,0.615,0.627,0.54,0.505
Ham,0.3523809523809524,0.3714286,0.33333333333333326,0.3523809523809524,0.2952380952380952,SPECTRO,0.28600000000000003,0.314,0.257,0.28600000000000003,0.23800000000000002,0.295,0.295,0.248,0.273,0.494,0.486,0.267,0.289,0.27699999999999997,0.19,0.35200000000000004,0.33299999999999996,0.28600000000000003,0.23800000000000002,0.21899999999999997,0.34299999999999997,0.4,0.5329999999999999,0.33299999999999996,0.33299999999999996,0.23800000000000002,0.314,0.429,0.35200000000000004
CricketX,0.4666666666666667,0.5897436,0.5974358974358974,0.3717948717948718,0.42820512820512824,MOTION,0.185,0.23800000000000002,0.221,0.215,0.24100000000000002,0.26899999999999996,0.485,0.436,0.306,0.8109999999999999,0.9259999999999999,0.505,0.44799999999999995,0.37799999999999995,0.262,0.515,0.177,0.431,0.185,0.179,0.23600000000000002,0.228,0.24600000000000002,0.264,0.209,0.295,0.228,0.187,0.192
Herring,0.421875,0.40625,0.46875,0.453125,0.390625,IMAGE,0.391,0.375,0.406,0.391,0.43799999999999994,0.375,0.42200000000000004,0.359,0.414,0.406,0.406,0.4,0.461,0.409,0.375,0.469,0.312,0.313,0.297,0.406,0.344,0.469,0.469,0.45299999999999996,0.375,0.359,0.32799999999999996,0.42200000000000004,0.375
Yoga,0.2396666666666667,0.384,0.3646666666666667,0.22233333333333336,0.23066666666666663,IMAGE,0.094,0.10400000000000001,0.1,0.121,0.125,0.122,0.231,0.20600000000000002,0.18,0.46399999999999997,0.46399999999999997,0.23800000000000002,0.21899999999999997,0.39299999999999996,0.16,0.305,0.08199999999999999,0.145,0.155,0.142,0.091,0.156,0.16399999999999998,0.08199999999999999,0.15,0.18100000000000002,0.182,0.121,0.12300000000000001
ShapeletSim,0.005555555555555571,0.2444444,0.005555555555555571,0.23888888888888885,0.005555555555555571,SIMULATED,0.0,0.006,0.0,0.017,0.006,0.161,0.006,0.106,0.47,0.5,0.5,0.493,0.5,0.38299999999999995,0.28300000000000003,0.0,0.0,0.517,0.133,0.0,0.0,0.3,0.35,0.0,0.05,0.039,0.044000000000000004,0.183,0.039
